txn_id,amount
TXN-9001,15000
TXN-9002,4200
TXN-9003,18500
TXN-9004,7800
TXN-9005,24000
TXN-9006,3150
TXN-9007,49000
TXN-9008,12600
TXN-9009,8900
TXN-9010,34500
TXN-9011,1950
TXN-9012,28000
TXN-9013,16400
TXN-9014,9200
TXN-9015,41000
TXN-9016,5600
TXN-9017,22500
TXN-9018,13800
TXN-9019,37000
TXN-9020,6400
TXN-9021,29500
TXN-9022,8100
TXN-9023,45000
TXN-9024,11200
TXN-9025,17800
TXN-9026,3600
TXN-9027,26500
TXN-9028,14300
TXN-9029,48500
TXN-9030,7200
TXN-9031,21000
TXN-9032,15900
TXN-9033,39500
TXN-9034,5100
TXN-9035,31000
TXN-9036,9800
TXN-9037,23400
TXN-9038,16800
TXN-9039,44000
TXN-9040,6900
