invoice_id,amount
INV-1001,15000
INV-1002,4200
INV-1003,18500
INV-1004,7800
INV-1005,24000
INV-1006,3150
INV-1007,49000
INV-1008,12600
INV-1009,8900
INV-1010,34500
INV-1011,1950
INV-1012,28000
INV-1013,16400
INV-1014,9200
INV-1015,41000
INV-1016,5600
INV-1017,22500
INV-1018,13800
INV-1019,37000
INV-1020,6400
INV-1021,29500
INV-1022,8100
INV-1023,45000
INV-1024,11200
INV-1025,17800
INV-1026,3600
INV-1027,26500
INV-1028,14300
INV-1029,48500
INV-1030,7200
INV-1031,21000
INV-1032,15900
INV-1033,39500
INV-1034,5100
INV-1035,31000
INV-1036,9800
INV-1037,23400
INV-1038,16800
INV-1039,44000
INV-1040,6900
INV-1041,12000
INV-1042,27500
INV-1043,33000
INV-1044,19800
INV-1045,46500
INV-1046,8500
INV-1047,25500
INV-1048,17200
INV-1049,38500
INV-1050,47000
